topic_id	judgment	reason	input_sha256
T14088	plausible_placement	Generational differences across education and work support Life-span and Life-course Studies; teaching vocabulary creates the education cluster.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T12864	plausible_placement	Interdisciplinary social and cultural thought supports Cultural Studies; philosophy is one explicit dimension.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T10343	unresolved	Hydrogel design supports Biomaterials while drug delivery and regenerative medicine support the current medical parent; inspect papers.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T13211	placement_candidate	Collective memory, testimony, colonialism and literature dominate the description; it does not describe experimental cognition.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T12807	plausible_placement	The description concerns social-science methods and societal behaviour; shared education/healthcare terms do not make it an education topic.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T14403	plausible_placement	Information security, smart systems and knowledge management support Information Systems within educational applications.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T11495	plausible_placement	The topic explicitly concerns livestock and poultry; common virology terms attract human infectious-disease neighbours.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T14176	plausible_placement	Citizenship, racial dynamics and power are sociological subjects; literary neighbours share generic identity vocabulary.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T13666	plausible_placement	Narrative and postmodern cultural analysis allow a literary placement; the alternative has only one-third of the vote.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T12668	unresolved	Molecular mapping supports Molecular Biology but the description foregrounds yeast systematics and ecology; papers are needed to adjudicate.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T12437	plausible_placement	National narratives, identity and memory fit Cultural Studies; the sociological alternative is an overlapping perspective.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T14241	placement_candidate	University dropout, retention, pedagogy and student satisfaction dominate; Education is more directly supported than Demography.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T12993	plausible_placement	Proximal development, well-being, motivation and social cognition explicitly support Developmental and Educational Psychology.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T10660	plausible_placement	Conducting polymers, electronics and electrochemistry justify Polymers and Plastics; biomedical applications describe only part of the topic.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T10005	plausible_placement	Biodiversity conservation and ecosystem management directly support Nature and Landscape Conservation; Ecology is a broader overlapping field.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T13985	plausible_placement	Innovation management and information technology directly support the current parent; economic development is an overlapping application.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T13066	plausible_placement	The description spans social implications of technology, economics and communication; a broad social-sciences parent is defensible.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T13663	plausible_placement	Integrated water-resources management is the stated focus; climate and sustainability terms pull it toward a broader environmental group.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T13384	plausible_placement	Strategizing and regional strategic priorities explicitly support Strategy and Management despite economic-development applications.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T13529	placement_candidate	Curriculum, early childhood, teaching professionalism and student motivation dominate; Education better matches the description than innovation management.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T13070	unresolved	Heritage sites and conservation can fit Archeology but intangible heritage and cultural politics suggest adjacent disciplines; the plurality is only 30%.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T12242	plausible_placement	Latino identity and communities directly support Cultural Studies; literary neighbours overlap on generic identity terms.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T14426	plausible_placement	Quakerism, Christianity and religious conversion directly justify Religious studies; gender and social justice supply cross-disciplinary overlap.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T14380	plausible_placement	The description explicitly studies museum exhibitions, curation and author museums; Museology fits despite the misleading Libraries title.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T13351	plausible_placement	Emancipatory education and pedagogy are explicit subjects within Ranciere's philosophy; the method/subject boundary is not a demonstrated error.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T13573	plausible_placement	Legal frameworks, international law, judicial independence and data protection directly support Law.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T12671	unresolved	Business-school teaching supports Education, while the business-management domain supports the current parent; research-content evidence is needed.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T13229	plausible_placement	Cultural and societal effects of horror media support Cultural Studies alongside literary analysis.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T13245	plausible_placement	The description centres on Beckett's writing and theatre; broad philosophical vocabulary produces a misleading Philosophy plurality.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T13368	plausible_placement	Universities and educational reform directly support Education; political context does not make Sociology the necessary parent.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T12454	plausible_placement	Eighteenth- and nineteenth-century political transformation directly supports History; broad social-movement terms lose the historical focus.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T14308	plausible_placement	Epistemic curiosity, motivation and emotion directly support Experimental and Cognitive Psychology; education is an application.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T14131	unresolved	The description is generic humanities while the title names Vico and Joyce; a 19% plurality cannot establish the correct parent.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T12662	plausible_placement	Industry strategy, innovation and entrepreneurship support Strategy and Management; the description also spans economic development.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T12375	plausible_placement	Politics, gender, inequality and social conditions in Cuba directly support Sociology and Political Science.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T13611	unresolved	Organizational change and training support the proposed HR parent; the educational-technology and information-management focus keeps the current parent plausible.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T14301	plausible_placement	The description explicitly includes cognitive and social development in learning settings, consistent with educational psychology.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T13749	plausible_placement	Regional disparities, tourism and global/local development support Geography, Planning and Development despite economic overlap.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T13818	placement_candidate	Description and all ten keywords concern cultural/area studies; neither names a religious subject, supporting review of the Religious studies parent.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
